"","fips","simyear","stover_removal","N2O_gN_m2"
"1",17001,2011,"G",0.3
"2",17001,2011,"G25S",0.34178
"3",17001,2011,"G50S",0.3
"4",17001,2011,"G75S",0.34178
"5",17001,2012,"G",0.2
"6",17001,2012,"G25S",0.2
"7",17001,2012,"G50S",0.2
"8",17001,2012,"G75S",0.2
"9",17001,2013,"G",0.4
"10",17001,2013,"G25S",0.4
"11",17001,2013,"G50S",0.4
"12",17001,2013,"G75S",0.4
"13",17001,2014,"G",0.2
"14",17001,2014,"G25S",0.25822
"15",17001,2014,"G50S",0.3
"16",17001,2014,"G75S",0.3
"17",17001,2015,"G",0.4
"18",17001,2015,"G25S",0.4
"19",17001,2015,"G50S",0.4
"20",17001,2015,"G75S",0.4
"21",17001,2016,"G",0.25822
"22",17001,2016,"G25S",0.2
"23",17001,2016,"G50S",0.2
"24",17001,2016,"G75S",0.2
"25",17001,2017,"G",0.4
"26",17001,2017,"G25S",0.4
"27",17001,2017,"G50S",0.4
"28",17001,2017,"G75S",0.4
"29",17001,2018,"G",0.3
"30",17001,2018,"G25S",0.3
"31",17001,2018,"G50S",0.3
"32",17001,2018,"G75S",0.3
"33",17001,2019,"G",0.4
"34",17001,2019,"G25S",0.4
"35",17001,2019,"G50S",0.4
"36",17001,2019,"G75S",0.4
"37",17001,2020,"G",0.25822
"38",17001,2020,"G25S",0.25822
"39",17001,2020,"G50S",0.2
"40",17001,2020,"G75S",0.2
"41",17001,2021,"G",0.4
"42",17001,2021,"G25S",0.4
"43",17001,2021,"G50S",0.4
"44",17001,2021,"G75S",0.4
"45",17001,2022,"G",0.2
"46",17001,2022,"G25S",0.2
"47",17001,2022,"G50S",0.2
"48",17001,2022,"G75S",0.2
"49",17001,2023,"G",0.4
"50",17001,2023,"G25S",0.4
"51",17001,2023,"G50S",0.4
"52",17001,2023,"G75S",0.4
"53",17001,2024,"G",0.25822
"54",17001,2024,"G25S",0.25822
"55",17001,2024,"G50S",0.25822
"56",17001,2024,"G75S",0.2
"57",17001,2025,"G",0.4
"58",17001,2025,"G25S",0.4
"59",17001,2025,"G50S",0.4
"60",17001,2025,"G75S",0.4
"61",17001,2026,"G",0.3
"62",17001,2026,"G25S",0.3
"63",17001,2026,"G50S",0.3
"64",17001,2026,"G75S",0.25822
"65",17001,2027,"G",0.4
"66",17001,2027,"G25S",0.4
"67",17001,2027,"G50S",0.4
"68",17001,2027,"G75S",0.4
"69",17001,2028,"G",0.25822
"70",17001,2028,"G25S",0.25822
"71",17001,2028,"G50S",0.2
"72",17001,2028,"G75S",0.2
"73",17001,2029,"G",0.45822
"74",17001,2029,"G25S",0.4
"75",17001,2029,"G50S",0.4
"76",17001,2029,"G75S",0.4
"77",17001,2030,"G",0.3
"78",17001,2030,"G25S",0.3
"79",17001,2030,"G50S",0.25822
"80",17001,2030,"G75S",0.2
"81",17001,2031,"G",0.5
"82",17001,2031,"G25S",0.5
"83",17001,2031,"G50S",0.5
"84",17001,2031,"G75S",0.45822
"85",17001,2032,"G",0.2
"86",17001,2032,"G25S",0.2
"87",17001,2032,"G50S",0.2
"88",17001,2032,"G75S",0.2
"89",17001,2033,"G",0.4
"90",17001,2033,"G25S",0.4
"91",17001,2033,"G50S",0.4
"92",17001,2033,"G75S",0.4
"93",17001,2034,"G",0.4
"94",17001,2034,"G25S",0.4
"95",17001,2034,"G50S",0.35822
"96",17001,2034,"G75S",0.35822
"97",17001,2035,"G",0.4
"98",17001,2035,"G25S",0.4
"99",17001,2035,"G50S",0.4
"100",17001,2035,"G75S",0.4
"101",17001,2036,"G",0.25822
"102",17001,2036,"G25S",0.25822
"103",17001,2036,"G50S",0.2
"104",17001,2036,"G75S",0.2
"105",17001,2037,"G",0.6
"106",17001,2037,"G25S",0.5
"107",17001,2037,"G50S",0.5
"108",17001,2037,"G75S",0.5
"109",17001,2038,"G",0.55822
"110",17001,2038,"G25S",0.5
"111",17001,2038,"G50S",0.45822
"112",17001,2038,"G75S",0.45822
"113",17001,2039,"G",0.5
"114",17001,2039,"G25S",0.45822
"115",17001,2039,"G50S",0.4
"116",17001,2039,"G75S",0.4
"117",17001,2040,"G",0.35822
"118",17001,2040,"G25S",0.35822
"119",17001,2040,"G50S",0.35822
"120",17001,2040,"G75S",0.35822
"121",17003,2011,"G",0.4
"122",17003,2011,"G25S",0.4
"123",17003,2011,"G50S",0.4
"124",17003,2011,"G75S",0.4
"125",17003,2012,"G",0.2
"126",17003,2012,"G25S",0.24505
"127",17003,2012,"G50S",0.28124
"128",17003,2012,"G75S",0.28124
"129",17003,2013,"G",0.3
"130",17003,2013,"G25S",0.3
"131",17003,2013,"G50S",0.3
"132",17003,2013,"G75S",0.3
"133",17003,2014,"G",0.2
"134",17003,2014,"G25S",0.2
"135",17003,2014,"G50S",0.2
"136",17003,2014,"G75S",0.2
"137",17003,2015,"G",0.38124
"138",17003,2015,"G25S",0.38124
"139",17003,2015,"G50S",0.38124
"140",17003,2015,"G75S",0.38124
"141",17003,2016,"G",0.2
"142",17003,2016,"G25S",0.2
"143",17003,2016,"G50S",0.2
"144",17003,2016,"G75S",0.18124
"145",17003,2017,"G",0.33619
"146",17003,2017,"G25S",0.33619
"147",17003,2017,"G50S",0.33619
"148",17003,2017,"G75S",0.33619
"149",17003,2018,"G",0.2
"150",17003,2018,"G25S",0.2
"151",17003,2018,"G50S",0.2
"152",17003,2018,"G75S",0.2
"153",17003,2019,"G",0.38124
"154",17003,2019,"G25S",0.38124
"155",17003,2019,"G50S",0.38124
"156",17003,2019,"G75S",0.38124
"157",17003,2020,"G",0.2
"158",17003,2020,"G25S",0.18124
"159",17003,2020,"G50S",0.18124
"160",17003,2020,"G75S",0.18124
"161",17003,2021,"G",0.43619
"162",17003,2021,"G25S",0.4
"163",17003,2021,"G50S",0.4
"164",17003,2021,"G75S",0.4
"165",17003,2022,"G",0.2
"166",17003,2022,"G25S",0.2
"167",17003,2022,"G50S",0.2
"168",17003,2022,"G75S",0.18124
"169",17003,2023,"G",0.4
"170",17003,2023,"G25S",0.4
"171",17003,2023,"G50S",0.4
"172",17003,2023,"G75S",0.38124
"173",17003,2024,"G",0.2
"174",17003,2024,"G25S",0.2
"175",17003,2024,"G50S",0.2
"176",17003,2024,"G75S",0.2
"177",17003,2025,"G",0.48124
"178",17003,2025,"G25S",0.43619
"179",17003,2025,"G50S",0.43619
"180",17003,2025,"G75S",0.4
"181",17003,2026,"G",0.2
"182",17003,2026,"G25S",0.2
"183",17003,2026,"G50S",0.2
"184",17003,2026,"G75S",0.2
"185",17003,2027,"G",0.4
"186",17003,2027,"G25S",0.4
"187",17003,2027,"G50S",0.4
"188",17003,2027,"G75S",0.4
"189",17003,2028,"G",0.2
"190",17003,2028,"G25S",0.2
"191",17003,2028,"G50S",0.2
"192",17003,2028,"G75S",0.2
"193",17003,2029,"G",0.4
"194",17003,2029,"G25S",0.4
"195",17003,2029,"G50S",0.3
"196",17003,2029,"G75S",0.3
"197",17003,2030,"G",0.2
"198",17003,2030,"G25S",0.2
"199",17003,2030,"G50S",0.2
"200",17003,2030,"G75S",0.2
"201",17003,2031,"G",0.4
"202",17003,2031,"G25S",0.4
"203",17003,2031,"G50S",0.4
"204",17003,2031,"G75S",0.4
"205",17003,2032,"G",0.2
"206",17003,2032,"G25S",0.2
"207",17003,2032,"G50S",0.2
"208",17003,2032,"G75S",0.2
"209",17003,2033,"G",0.4
"210",17003,2033,"G25S",0.4
"211",17003,2033,"G50S",0.4
"212",17003,2033,"G75S",0.4
