"","fips","simyear","stover_removal","stover_dryyield_kgha"
"1",17001,2011,"G",0
"2",17001,2011,"G25S",2981.7776744186
"3",17001,2011,"G50S",5963.55534883721
"4",17001,2011,"G75S",8943.97906976744
"5",17001,2013,"G",0
"6",17001,2013,"G25S",2544.56837209302
"7",17001,2013,"G50S",5089.13674418605
"8",17001,2013,"G75S",7633.70511627907
"9",17001,2015,"G",0
"10",17001,2015,"G25S",3233.52976744186
"11",17001,2015,"G50S",6468.41348837209
"12",17001,2015,"G75S",9703.29720930233
"13",17001,2017,"G",0
"14",17001,2017,"G25S",2650.39813953488
"15",17001,2017,"G50S",5302.15023255814
"16",17001,2017,"G75S",7955.25627906977
"17",17001,2019,"G",0
"18",17001,2019,"G25S",2636.44465116279
"19",17001,2019,"G50S",5274.24325581395
"20",17001,2019,"G75S",7913.39581395349
"21",17001,2021,"G",0
"22",17001,2021,"G25S",2732.17581395349
"23",17001,2021,"G50S",5468.0311627907
"24",17001,2021,"G75S",8202.53255813953
"25",17001,2023,"G",0
"26",17001,2023,"G25S",3443.21441860465
"27",17001,2023,"G50S",6882.16
"28",17001,2023,"G75S",10317.808372093
"29",17001,2025,"G",0
"30",17001,2025,"G25S",3581.98465116279
"31",17001,2025,"G50S",7165.32325581395
"32",17001,2025,"G75S",10748.0725581395
"33",17001,2027,"G",0
"34",17001,2027,"G25S",2920.93023255814
"35",17001,2027,"G50S",5840.50651162791
"36",17001,2027,"G75S",8761.43674418605
"37",17001,2029,"G",0
"38",17001,2029,"G25S",2899.6176744186
"39",17001,2029,"G50S",5799.23534883721
"40",17001,2029,"G75S",8704.2688372093
"41",17001,2031,"G",0
"42",17001,2031,"G25S",3267.05953488372
"43",17001,2031,"G50S",6537.79860465116
"44",17001,2031,"G75S",9804.85813953488
"45",17001,2033,"G",0
"46",17001,2033,"G25S",4022.1088372093
"47",17001,2033,"G50S",8047.51488372093
"48",17001,2033,"G75S",12073.303255814
"49",17001,2035,"G",0
"50",17001,2035,"G25S",2795.55581395349
"51",17001,2035,"G50S",5591.11162790698
"52",17001,2035,"G75S",8388.02139534884
"53",17001,2037,"G",0
"54",17001,2037,"G25S",3333.35441860465
"55",17001,2037,"G50S",6669.79906976744
"56",17001,2037,"G75S",10008.5693023256
"57",17001,2039,"G",0
"58",17001,2039,"G25S",4534.94697674419
"59",17001,2039,"G50S",9007.86790697674
"60",17001,2039,"G75S",13328.9418604651
"61",17003,2011,"G",0
"62",17003,2011,"G25S",1694.10511627907
"63",17003,2011,"G50S",3388.21023255814
"64",17003,2011,"G75S",5083.36302325581
"65",17003,2013,"G",0
"66",17003,2013,"G25S",2318.17511627907
"67",17003,2013,"G50S",4639.0811627907
"68",17003,2013,"G75S",6963.32953488372
"69",17003,2015,"G",0
"70",17003,2015,"G25S",1943.39581395349
"71",17003,2015,"G50S",3884.02976744186
"72",17003,2015,"G75S",5821.90186046512
"73",17003,2017,"G",0
"74",17003,2017,"G25S",1849.27348837209
"75",17003,2017,"G50S",3698.11069767442
"76",17003,2017,"G75S",5546.54255813953
"77",17003,2019,"G",0
"78",17003,2019,"G25S",1739.11906976744
"79",17003,2019,"G50S",3475.07093023256
"80",17003,2019,"G75S",5202.99837209302
"81",17003,2021,"G",0
"82",17003,2021,"G25S",1595.3488372093
"83",17003,2021,"G50S",3189.85604651163
"84",17003,2021,"G75S",4785.20488372093
"85",17003,2023,"G",0
"86",17003,2023,"G25S",2486.6888372093
"87",17003,2023,"G50S",4974.65558139535
"88",17003,2023,"G75S",7464.07534883721
"89",17003,2025,"G",0
"90",17003,2025,"G25S",2513.51348837209
"91",17003,2025,"G50S",5014.32046511628
"92",17003,2025,"G75S",7501.80953488372
"93",17003,2027,"G",0
"94",17003,2027,"G25S",2615.43372093023
"95",17003,2027,"G50S",5224.90069767442
"96",17003,2027,"G75S",7821.69209302326
"97",17003,2029,"G",0
"98",17003,2029,"G25S",2687.12511627907
"99",17003,2029,"G50S",5374.44953488372
"100",17003,2029,"G75S",8062.41627906977
"101",17003,2031,"G",0
"102",17003,2031,"G25S",3095.58581395349
"103",17003,2031,"G50S",6194.97441860465
"104",17003,2031,"G75S",9292.24348837209
"105",17003,2033,"G",0
"106",17003,2033,"G25S",3171.24767441861
"107",17003,2033,"G50S",6329.17744186047
"108",17003,2033,"G75S",9472.10604651163
"109",17003,2035,"G",0
"110",17003,2035,"G25S",3054.16162790698
"111",17003,2035,"G50S",6109.77627906977
"112",17003,2035,"G75S",9163.47069767442
"113",17003,2037,"G",0
"114",17003,2037,"G25S",3130.3011627907
"115",17003,2037,"G50S",6260.16604651163
"116",17003,2037,"G75S",9392.35651162791
"117",17003,2039,"G",0
"118",17003,2039,"G25S",2756.07139534884
"119",17003,2039,"G50S",5503.24581395349
"120",17003,2039,"G75S",8235.59418604651
"121",17005,2011,"G",0
"122",17005,2011,"G25S",2405.2
"123",17005,2011,"G50S",4810.12558139535
"124",17005,2011,"G75S",7215.32558139535
"125",17005,2013,"G",0
"126",17005,2013,"G25S",2512.85581395349
"127",17005,2013,"G50S",5028.58604651163
"128",17005,2013,"G75S",7542.26511627907
"129",17005,2015,"G",0
"130",17005,2015,"G25S",2503.55348837209
"131",17005,2015,"G50S",5004.78139534884
"132",17005,2015,"G75S",7501.90697674419
"133",17005,2017,"G",0
"134",17005,2017,"G25S",2359.9023255814
"135",17005,2017,"G50S",4719.4
"136",17005,2017,"G75S",7079.17209302325
"137",17005,2019,"G",0
"138",17005,2019,"G25S",2255.26511627907
"139",17005,2019,"G50S",4510.53023255814
"140",17005,2019,"G75S",6766.06976744186
"141",17005,2021,"G",0
"142",17005,2021,"G25S",2515.73023255814
"143",17005,2021,"G50S",5031.73488372093
"144",17005,2021,"G75S",7547.73953488372
"145",17005,2023,"G",0
"146",17005,2023,"G25S",3125.01860465116
"147",17005,2023,"G50S",6231.57674418605
"148",17005,2023,"G75S",9298.61395348837
"149",17005,2025,"G",0
"150",17005,2025,"G25S",2913.24651162791
"151",17005,2025,"G50S",5820.75813953488
"152",17005,2025,"G75S",8710.22790697674
"153",17005,2027,"G",0
"154",17005,2027,"G25S",2539.93953488372
"155",17005,2027,"G50S",5082.20465116279
"156",17005,2027,"G75S",7623.24186046512
"157",17005,2029,"G",0
"158",17005,2029,"G25S",2637.61395348837
"159",17005,2029,"G50S",5273.4511627907
"160",17005,2029,"G75S",7909.56279069768
"161",17005,2031,"G",0
"162",17005,2031,"G25S",2696.82325581395
"163",17005,2031,"G50S",5374.36279069767
"164",17005,2031,"G75S",8008.95813953488
"165",17005,2033,"G",0
"166",17005,2033,"G25S",3188.06976744186
"167",17005,2033,"G50S",6306.53023255814
"168",17005,2033,"G75S",9335.82325581395
"169",17005,2035,"G",0
"170",17005,2035,"G25S",3024.84651162791
"171",17005,2035,"G50S",6044.63720930233
"172",17005,2035,"G75S",9048.84186046512
"173",17005,2037,"G",0
"174",17005,2037,"G25S",3229.49767441861
"175",17005,2037,"G50S",6452.16279069767
"176",17005,2037,"G75S",9659.51627906977
"177",17005,2039,"G",0
"178",17005,2039,"G25S",3090.6976744186
"179",17005,2039,"G50S",6097.55813953488
"180",17005,2039,"G75S",9007.4511627907
"181",17007,2011,"G",0
"182",17007,2011,"G25S",2853.5623255814
"183",17007,2011,"G50S",5707.60976744186
"184",17007,2011,"G75S",8560.75372093023
"185",17007,2013,"G",0
"186",17007,2013,"G25S",2735.80627906977
"187",17007,2013,"G50S",5471.12744186047
"188",17007,2013,"G75S",8207.35209302326
"189",17007,2015,"G",0
"190",17007,2015,"G25S",3395.36860465116
"191",17007,2015,"G50S",6790.02627906977
"192",17007,2015,"G75S",10185.3948837209
"193",17007,2017,"G",0
"194",17007,2017,"G25S",2544.70930232558
"195",17007,2017,"G50S",5088.28930232558
"196",17007,2017,"G75S",7633.41697674419
"197",17007,2019,"G",0
"198",17007,2019,"G25S",3040.00860465116
"199",17007,2019,"G50S",6080.01720930233
"200",17007,2019,"G75S",9120.02581395349
"201",17007,2021,"G",0
"202",17007,2021,"G25S",2505.24511627907
