"","fips","simyear","stover_removal","grainyield_bu_ac"
"1",17001,2012,"G",62.9603624161074
"2",17001,2012,"G25S",63.3600604026846
"3",17001,2012,"G50S",63.7317181208054
"4",17001,2012,"G75S",64.0838389261745
"5",17001,2014,"G",53.3145570469799
"6",17001,2014,"G25S",53.4598187919463
"7",17001,2014,"G50S",53.5995637583893
"8",17001,2014,"G75S",53.725288590604
"9",17001,2016,"G",57.1991275167785
"10",17001,2016,"G25S",57.450577181208
"11",17001,2016,"G50S",57.6684697986577
"12",17001,2016,"G75S",57.9058993288591
"13",17001,2018,"G",29.0799395973154
"14",17001,2018,"G25S",29.0548859060403
"15",17001,2018,"G50S",29.0744228187919
"16",17001,2018,"G75S",29.0884429530201
"17",17001,2020,"G",57.451033557047
"18",17001,2020,"G25S",57.5962953020134
"19",17001,2020,"G50S",57.6939798657718
"20",17001,2020,"G75S",57.8197046979866
"21",17001,2022,"G",67.3613959731544
"22",17001,2022,"G25S",67.6799597315436
"23",17001,2022,"G50S",67.9734697986577
"24",17001,2022,"G75S",68.3200738255034
"25",17001,2024,"G",56.6727919463087
"26",17001,2024,"G25S",56.8180536912752
"27",17001,2024,"G50S",56.8851677852349
"28",17001,2024,"G75S",56.9663020134228
"29",17001,2026,"G",59.184966442953
"30",17001,2026,"G25S",59.5285838926174
"31",17001,2026,"G50S",59.8331275167785
"32",17001,2026,"G75S",60.1572080536913
"33",17001,2028,"G",50.5123154362416
"34",17001,2028,"G25S",50.551389261745
"35",17001,2028,"G50S",50.61
"36",17001,2028,"G75S",50.6295369127517
"37",17001,2030,"G",55.1291677852349
"38",17001,2030,"G25S",55.1431879194631
"39",17001,2030,"G50S",55.176744966443
"40",17001,2030,"G75S",55.282932885906
"41",17001,2032,"G",53.1267785234899
"42",17001,2032,"G25S",53.2244630872483
"43",17001,2032,"G50S",53.2635369127517
"44",17001,2032,"G75S",53.2635369127517
"45",17001,2034,"G",71.289644295302
"46",17001,2034,"G25S",71.4434093959732
"47",17001,2034,"G50S",71.5581006711409
"48",17001,2034,"G75S",71.7314026845638
"49",17001,2036,"G",47.0639865771812
"50",17001,2036,"G25S",47.0975436241611
"51",17001,2036,"G50S",47.1506375838926
"52",17001,2036,"G75S",47.2177516778523
"53",17001,2038,"G",71.1138120805369
"54",17001,2038,"G25S",71.1864429530201
"55",17001,2038,"G50S",71.2450536912752
"56",17001,2038,"G75S",71.278610738255
"57",17001,2040,"G",52.5542348993289
"58",17001,2040,"G25S",52.7861476510067
"59",17001,2040,"G50S",52.9454295302013
"60",17001,2040,"G75S",53.1187315436242
"61",17003,2012,"G",56.1846006711409
"62",17003,2012,"G25S",56.3946677852349
"63",17003,2012,"G50S",56.5892684563758
"64",17003,2012,"G75S",56.7993355704698
"65",17003,2014,"G",47.2938657718121
"66",17003,2014,"G25S",47.4577852348993
"67",17003,2014,"G50S",47.6187315436242
"68",17003,2014,"G75S",47.755389261745
"69",17003,2016,"G",54.4651073825503
"70",17003,2016,"G25S",54.6499932885906
"71",17003,2016,"G50S",54.8285838926174
"72",17003,2016,"G75S",54.970644295302
"73",17003,2018,"G",57.4073791946309
"74",17003,2018,"G25S",57.5621275167785
"75",17003,2018,"G50S",57.7076073825503
"76",17003,2018,"G75S",57.8773758389262
"77",17003,2020,"G",53.3300738255034
"78",17003,2020,"G25S",53.3753288590604
"79",17003,2020,"G50S",53.4448724832215
"80",17003,2020,"G75S",53.4745637583893
"81",17003,2022,"G",63.9554161073825
"82",17003,2022,"G25S",64.015788590604
"83",17003,2022,"G50S",64.0517751677852
"84",17003,2022,"G75S",64.0907348993289
"85",17003,2024,"G",62.6642348993289
"86",17003,2024,"G25S",62.8402986577181
"87",17003,2024,"G50S",63.0042181208054
"88",17003,2024,"G75S",63.1555469798658
"89",17003,2026,"G",58.1332382550336
"90",17003,2026,"G25S",58.2874429530201
"91",17003,2026,"G50S",58.4416476510067
"92",17003,2026,"G75S",58.5706711409396
"93",17003,2028,"G",54.6281342281879
"94",17003,2028,"G25S",54.6205
"95",17003,2028,"G50S",54.5821845637584
"96",17003,2028,"G75S",54.5069899328859
"97",17003,2030,"G",50.080889261745
"98",17003,2030,"G25S",50.101855704698
"99",17003,2030,"G50S",50.0984362416107
"100",17003,2030,"G75S",50.1096879194631
"101",17003,2032,"G",42.8290503355705
"102",17003,2032,"G25S",42.8743053691275
"103",17003,2032,"G50S",42.913711409396
"104",17003,2032,"G75S",42.925855704698
"105",17003,2034,"G",63.1992651006711
"106",17003,2034,"G25S",63.2595402684564
"107",17003,2034,"G50S",63.322788590604
"108",17003,2034,"G75S",63.3247718120805
"109",17003,2036,"G",58.0876879194631
"110",17003,2036,"G25S",58.314855704698
"111",17003,2036,"G50S",58.5508456375839
"112",17003,2036,"G75S",58.7436610738255
"113",17003,2038,"G",66.6545503355705
"114",17003,2038,"G25S",66.8058791946309
"115",17003,2038,"G50S",66.9479395973154
"116",17003,2038,"G75S",67.0501476510067
"117",17003,2040,"G",37.9281845637584
"118",17003,2040,"G25S",37.9277382550336
"119",17003,2040,"G50S",37.9331409395973
"120",17003,2040,"G75S",37.9415167785235
"121",17005,2012,"G",45.5938255033557
"122",17005,2012,"G25S",45.9077181208054
"123",17005,2012,"G50S",46.2591275167785
"124",17005,2012,"G75S",46.5730201342282
"125",17005,2014,"G",36.3677181208054
"126",17005,2014,"G25S",36.3875167785235
"127",17005,2014,"G50S",36.4408724832215
"128",17005,2014,"G75S",36.456711409396
"129",17005,2016,"G",48.2644295302013
"130",17005,2016,"G25S",48.3632214765101
"131",17005,2016,"G50S",48.4284563758389
"132",17005,2016,"G75S",48.523288590604
"133",17005,2018,"G",34.6327516778523
"134",17005,2018,"G25S",34.7334228187919
"135",17005,2018,"G50S",34.8340939597315
"136",17005,2018,"G75S",34.8676510067114
"137",17005,2020,"G",37.3329530201342
"138",17005,2020,"G25S",37.2777181208054
"139",17005,2020,"G50S",37.26
"140",17005,2020,"G75S",37.1455704697986
"141",17005,2022,"G",42.5659731543624
"142",17005,2022,"G25S",42.5738926174497
"143",17005,2022,"G50S",42.5955704697987
"144",17005,2022,"G75S",42.6370469798658
"145",17005,2024,"G",32.5974496644295
"146",17005,2024,"G25S",32.6428859060403
"147",17005,2024,"G50S",32.6547651006711
"148",17005,2024,"G75S",32.7002013422819
"149",17005,2026,"G",42.6624832214765
"150",17005,2026,"G25S",42.7079194630872
"151",17005,2026,"G50S",42.7356375838926
"152",17005,2026,"G75S",42.7337583892617
"153",17005,2028,"G",48.675033557047
"154",17005,2028,"G25S",48.4678523489933
"155",17005,2028,"G50S",48.1639597315436
"156",17005,2028,"G75S",47.7081208053691
"157",17005,2030,"G",52.3306711409396
"158",17005,2030,"G25S",52.1451677852349
"159",17005,2030,"G50S",51.8885906040268
"160",17005,2030,"G75S",51.5551006711409
"161",17005,2032,"G",34.6089932885906
"162",17005,2032,"G25S",34.6169127516778
"163",17005,2032,"G50S",34.5912751677852
"164",17005,2032,"G75S",34.561677852349
"165",17005,2034,"G",56.1959731543624
"166",17005,2034,"G25S",56.1486577181208
"167",17005,2034,"G50S",56.0677852348993
"168",17005,2034,"G75S",55.9237583892617
