index,fips,county,state,ST,ave_temp,precip_ave,tot_ha,sand,silt,clay,yield_Mg,dSOC_MgC,dN2ON_kgN,iN2ON_kgN,kgCH4_ox,ghg_MgCO2e,yield_Mg_ha,dSOC_MgC_ha,dN2ON_kgN_ha,iN2ON_kgN_ha,kgCH4_ox_ha,ghg_MgCO2e_ha
0,1001,Autauga,Alabama,AL,18.3533715,129.7382547,31214.54758,68.32805691,21.06483784,10.60710525,671090.0074,-4518.187178,39821.13593,13754.17883,56161.01378,37288.12185,21.49927067,-0.144746201,1.275723629,0.440633611,1.799193585,1.194575118
1,1003,Baldwin,Alabama,AL,20.33607477,146.6075344,19794.09872,70.39706373,19.56708429,10.03585197,425285.8383,-3256.285981,22716.37636,9882.08523,31542.24308,24620.19321,21.48548638,-0.164507919,1.147633781,0.499244011,1.593517519,1.243814814
2,1005,Barbour,Alabama,AL,19.15906033,122.5849112,34348.74119,76.99114998,13.73288174,9.275968283,766241.7017,-5422.679821,41897.38226,14844.37109,64590.06213,41684.54787,22.30770838,-0.157871282,1.219764708,0.432166379,1.880420065,1.213568429
3,1007,Bibb,Alabama,AL,18.09031125,133.660604,6070.472827,61.13816297,25.26490908,13.59692795,135522.6276,-729.4142134,6895.269031,2482.232095,11287.16775,6260.836283,22.32488827,-0.120157726,1.135870175,0.408902596,1.859355617,1.031358917
4,1009,Blount,Alabama,AL,16.75197243,129.1687909,27967.98192,47.34447363,36.94461084,15.71091554,602740.988,-1542.230026,30783.60941,10816.06516,52732.05514,21494.07406,21.55110761,-0.0551427,1.100673245,0.386730268,1.885443694,0.768524312
5,1011,Bullock,Alabama,AL,18.67049794,126.1271564,23321.43439,54.94189032,22.76299163,22.29511947,536302.3482,-2581.235532,44777.9266,8422.041628,39608.30895,30498.22145,22.99611333,-0.110680822,1.920033127,0.361128801,1.698365044,1.307733518
6,1013,Butler,Alabama,AL,18.86968914,139.216234,25145.03084,65.03833543,22.77861797,12.1830466,567822.7911,-3862.311493,30915.2105,10747.08575,48139.44306,30149.65226,22.58190872,-0.153601382,1.229475943,0.42740396,1.914471426,1.199030236
7,1015,Calhoun,Alabama,AL,17.22252269,122.8727458,20717.06502,33.13932783,45.19034762,21.67032455,439610.8927,-658.9171232,29250.76756,7752.142368,40594.21292,16683.5912,21.21974769,-0.031805525,1.411916578,0.374191149,1.959457717,0.805306697
8,1017,Chambers,Alabama,AL,17.80799606,122.5774433,20492.71157,46.89781661,29.67506256,23.42712083,466546.2529,-3111.959977,27954.11978,8880.885366,35558.64529,25742.7722,22.76644803,-0.151856916,1.364100582,0.433367997,1.735184979,1.256191603
9,1019,Cherokee,Alabama,AL,16.3946225,125.0422723,28604.42444,39.37829673,42.14920648,18.47249679,607865.1734,-1487.636948,39164.52733,10729.47464,52537.2997,24752.78378,21.25073954,-0.052007232,1.369177255,0.375098428,1.836684384,0.86534808
10,1021,Chilton,Alabama,AL,18.09703686,130.0487397,28031.42743,59.23641208,26.44087846,14.32270946,634278.0944,-2958.71905,31316.63237,11727.304,49653.78652,27371.67236,22.62739191,-0.105550067,1.117197204,0.418362712,1.771361328,0.976463736
