Name_Units,Key_String,In_or_out,Default_Unit,Energy_Impact (MJ/X),Cost,GHG_Impact,WDP,Acidification,Ecotoxicity,Eutrophication,HHC,HHNC,Ozone_Depletion,Ozone_Formation,Resource_Depletion,Respiratory_Effects,EcoInvent Title,,Questions
Arable Land (ha/yr),Arable Land,Input,hectare / year,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Marginal Land (ha/yr),Marginal Land,Input,hectare / year,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Rain Water (Blue Water) (m3/yr),Rain Water (Blue Water),Input,meter ** 3 / year,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Saline Water (m3/yr),Saline Water,Input,meter ** 3 / year,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Atmospheric CO2 (kg/yr),Atmospheric CO2,Input,kilogram / year,0,0,-1000,0,0,0,0,0,0,0,0,0,0,,,
Commercial CO2 (kg/yr),Commercial CO2,Input,kilogram / year,8.93,0.132,1610,0.003658,,,,,,,,,,,,
Nitrogen in Fertilizer (kg/yr),Nitrogen in Fertilizer,Input,kilogram / year,59.3,0.5676,3344.62,5.85838,0.02434,20.52267,0.01156,1.30E-07,9.80E-07,5.75E-07,0.25004,7.14E+00,0.00315,"urea ammonium nitrate production | nitrogen fertiliser, as N | Cutoff, U - RoW",,
Phosphorus in Fertilizer (kg/yr),Phosphorus in Fertilizer,Input,kilogram / year,96.88064516,0.66236129,1935.61,10.43909,0.02094,22.14305,0.02748,1.41E-07,1.18E-06,2.30E-07,0.14609,3.17E+00,0.00359,"triple superphosphate production | phosphate fertiliser, as P2O5 | Cutoff, U - RoW",,
Potassium in Fertilizer (kg/yr),Potassium in Fertilizer,Input,kilogram / year,26.15128205,0.271876923,3237.99,2.69273,0.01326,12.09928,0.00671,7.62E-08,5.79E-07,1.99E-07,0.15906,2.50E+00,0.00103,"nutrient supply from potassium nitrate | potassium fertiliser, as K2O | Cutoff, U - GLO",,
Ag Lime (CaCO3) (kg/yr),Ag Lime (CaCO3),Input,kilogram / year,16.5,0.04,41.75,0.85246,0.00023,0.10231,9.28E-05,1.90E-09,4.40E-09,3.58E-09,0.00313,4.35E-02,4.39E-05,"lime to generic market for soil pH raising agent | soil pH raising agent, as CaCO3 | Cutoff, U - GLO",,
